Trade_ID,Entry_Date,Expiration,Exit_Date,DTE,SPX_Entry,SPX_Exit,SPX_Expiration,VIX_Entry,PUT_Short_Final,PUT_Long_Final,PUT_Credit_Final,PUT_Rolls,PUT_Exit,CALL_Short_Final,CALL_Long_Final,CALL_Credit_Final,CALL_Rolls,CALL_Exit,Cumulative_Credit_$,Banked_Roll_PnL_$,Total_PnL_$,PnL_%,Exit_Reason,Result
1,2016-05-09,2016-06-10,2016-06-03,32,2058.77,2099.12,2096.14,14.57,1995,1945,4.72,1,10 DTE Exit,2150,2200,3.15,1,10 DTE Exit,1577.51,-770.85,0.62,0.0,10 DTE Exit (Profitable),WIN
2,2016-05-16,2016-06-17,2016-06-09,32,2066.62,2115.54,2071.19,14.68,1990,1940,5.20,1,10 DTE Exit,2165,2215,3.36,1,10 DTE Exit,1724.76,-806.16,31.92,1.9,10 DTE Exit (Profitable),WIN
4,2016-06-03,2016-07-08,2016-06-09,35,2099.12,2115.54,2129.63,13.47,2045,1995,5.86,0,,2180,2230,3.71,0,,956.72,0.00,550.23,57.5,50% Profit Target,WIN
6,2016-06-20,2016-07-22,2016-06-22,32,2083.34,2085.42,2174.92,18.37,2045,1995,5.14,0,,2145,2195,3.17,0,,831.44,0.00,531.62,63.9,50% Profit Target,WIN
3,2016-05-23,2016-06-24,2016-06-24,32,2048.30,2037.34,2037.34,15.82,1995,1945,5.56,0,Expiration,2125,2175,3.58,0,CALL:Stop Loss,913.51,0.00,-331.29,-36.3,Expiration,LOSS
5,2016-06-09,2016-07-15,2016-07-05,36,2115.54,2088.34,2161.53,14.64,2030,1980,5.12,1,PUT:Stop Loss,2190,2240,3.17,0,10 DTE Exit,1374.56,-746.04,-1872.80,-136.2,10 DTE Exit (Cut Loss),LOSS
9,2016-07-11,2016-08-12,2016-07-25,32,2137.04,2168.48,2183.89,13.54,2025,1975,7.44,0,,2285,2335,4.68,0,,1211.32,0.00,1112.42,91.8,50% Profit Target,WIN
10,2016-07-18,2016-08-19,2016-07-25,32,2166.82,2168.48,2183.77,12.44,2055,2005,7.43,0,,2315,2365,4.65,0,,1207.75,0.00,963.43,79.8,50% Profit Target,WIN
8,2016-07-05,2016-08-05,2016-07-26,31,2088.34,2169.16,2182.64,15.58,1985,1935,7.45,0,10 DTE Exit,2270,2320,3.83,1,10 DTE Exit,1599.69,-463.79,661.46,41.3,10 DTE Exit (Profitable),WIN
11,2016-07-25,2016-08-26,2016-07-26,32,2168.48,2169.16,2169.23,12.87,2095,2045,6.55,0,,2270,2320,4.21,0,,1075.31,0.00,544.24,50.6,50% Profit Target,WIN
